ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result,assoc_player,assoc_playerName,assoc_playerTeam,assoc_playerTeamName
2340,945010,61590,Syougo Azuma,29957,Chugoku Electric Power Red Regulions,4703.64,4703.64,5659,2,34,63,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,,1,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,13,13,Outside Centre,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2341,945010,58309,Shintaro Matsuda,29957,Chugoku Electric Power Red Regulions,4705.52,4705.52,5701,2,34,63,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2342,945010,58309,Shintaro Matsuda,29957,Chugoku Electric Power Red Regulions,4705.52,4705.52,5701,2,34,63,0,0,47,Playmaker Options,672,Acting Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2343,945010,58309,Shintaro Matsuda,29957,Chugoku Electric Power Red Regulions,4705.72,4706.96,5701,2,34,63,25,58,3,Pass,169,Complete,0,,679,Short Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,10,9,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,08,8,Number 8,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,23406,Hirofumi Higashikawa,29957,Chugoku Electric Power Red Regulions
2344,945010,23406,Hirofumi Higashikawa,29957,Chugoku Electric Power Red Regulions,4706.96,4706.96,5702,2,25,58,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,22,11,Left Wing,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2345,945010,23406,Hirofumi Higashikawa,29957,Chugoku Electric Power Red Regulions,4706.96,4706.96,5702,2,25,58,0,0,47,Playmaker Options,656,First Receiver,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,22,11,Left Wing,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2346,945010,23406,Hirofumi Higashikawa,29957,Chugoku Electric Power Red Regulions,4707.56,4710.64,5703,2,25,58,68,68,4,Kick,347,Touch Kick,193,Kick in Touch (Full),185,Kick in Play,0,,0,,0,,0,,0,,0,,0,,43,44,0,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,22,11,Left Wing,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2347,945010,0,,29957,Chugoku Electric Power Red Regulions,4679.56,4710.64,5706,2,68,0,68,68,26,Sequences,348,Lineout Steal,317,Scrum,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,,,,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2348,945010,0,,29957,Chugoku Electric Power Red Regulions,4700.64,4710.64,5706,2,34,63,68,68,15,Possession,308,Turnover Won,317,Scrum,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,34,0,0,0,,2,46,61,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,,,,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
2349,945010,40718,Rintaro Kawasima,29957,Chugoku Electric Power Red Regulions,4753.60,4755.08,5749,2,34,63,0,0,5,Scrum,0,,359,Lost Pen Con,365,Neutral,0,,676,N/A Movement Scrum,0,,0,,0,,0,,0,,0,0,0,0,,1,46,62,0,3,29957,Chugoku Electric Power Red Regulions,588,Kurita Water Gush Akishima,27/04/2025,13:00,17,10,34,38,20,17,508,Balcom BMW Stadium,-1,NA,14,2025,09,9,Scrum Half,0,,0,,1001799,Souta Ouchi,1001519,Ryoji Hirose,1001969,Junichiro Yotsuji,-1,,423,Japan Rugby League One D3,Y,L,0,,0,
